Knocked Genes,Knocked Count,Fitness
"246_AT1,23305_AT1,2820_AT1,10201_AT1,8277_AT1",5,0.3860275897107377
"954_AT1,10723_AT1,23439_AT1,79077_AT1,9807_AT1,151531_AT1,22934_AT1",7,0.3712605579850165
6519_AT1,1,0.3632306602550743
"883_AT1,2348_AT3,271_AT2,1431_AT1,10935_AT2,123745_AT1,5168_AT1,6120_AT1,374291_AT1",9,0.3461882150425743
"56894_AT1,2990_AT1,2645_AT3,130367_AT1,84076_AT1,1358_AT1,93979_AT1,4696_AT1,1347_AT1,10825_AT1",10,0.3287508454187905
"3948_AT2,291_AT1,6557_AT1,7296_AT3,353_AT1,26330_AT1,2739_AT1",7,0.3140937217110062
"11164_AT1,6560_AT1,2983_AT1,4144_AT1,1491_AT2,5214_AT1,93650_AT1,64754_AT1",8,0.3125291146595965
"10599_AT1,124935_AT1,2629_AT4,51809_AT1,7372_AT1,4843_AT2,1503_AT1,375056_AT1,7389_AT1,5446_AT1",10,0.2957836736995799
"5167_AT1,3284_AT1,2629_AT3,5211_AT2,4759_AT1",5,0.2845927030895474
"1103_AT2,376497_AT2,2639_AT1,3990_AT1,89869_AT1,6120_AT2,7360_AT1,7779_AT1,6839_AT1",9,0.280886965854201
"64902_AT1,6005_AT1,22934_AT1,10050_AT1",4,0.2744408034686768
"55811_AT1,2180_AT1,5106_AT1,2762_AT1,29968_AT1,10715_AT1,8707_AT1",7,0.2682890238069331
"2572_AT1,51606_AT1,79087_AT1,5092_AT1,9376_AT1,249_AT1",6,0.2610767619331282
"8424_AT1,4831_AT1,5335_AT2,84076_AT1,10610_AT1,3995_AT1,283208_AT1,1735_AT1,121214_AT1,539_AT1",10,0.2605601840540754
"2589_AT1,5152_AT11,93034_AT2",3,0.2575827283867869
"1581_AT1,8854_AT3,9227_AT1,197257_AT2,5236_AT1,2222_AT1,4513_AT1",7,0.2485442883968929
"9489_AT1,51458_AT1,8974_AT1",3,0.2387212549168207
"230_AT1,178_AT5,5151_AT4,54872_AT1,102724197_AT1,23430_AT1",6,0.2355883959905551
"211_AT2,54682_AT1,230_AT1,6549_AT1,55217_AT1,6833_AT1,285440_AT1,171425_AT2,10058_AT1",9,0.231798794363321
"80308_AT1,113675_AT1",2,0.2299482388362727
"23057_AT2,5409_AT1,9942_AT1,56954_AT1,5214_AT1,79948_AT1,29072_AT1",7,0.22077815586272
"6510_AT1,645740_AT1,4353_AT1,28982_AT1,2597_AT1,115019_AT1,1155_AT1,114571_AT1,9108_AT1,124872_AT1",10,0.2023367675820566
"493_AT1,5009_AT1,9331_AT1,6303_AT1,259230_AT1,100507855_AT1,260293_AT1,4723_AT1",8,0.186727224617829
"8972_AT1,26873_AT1,5052_AT1,58510_AT1,29968_AT1,4694_AT1",6,0.1802576737153473
"4126_AT1,23600_AT1,51004_AT2,10229_AT1,64816_AT3,8654_AT1,54716_AT1,6524_AT1,5211_AT2",9,0.1762901688273815
"3712_AT1,8694_AT1,6821_AT1,3764_AT1,83852_AT1",5,0.1742210397141527
"226_AT1,5321_AT1,763_AT1,7054_AT2,24_AT1,55066_AT1,201164_AT1,84869_AT1",8,0.1695029677499216
"8706_AT4,2356_AT1,23396_AT1,10157_AT1",4,0.1603194566978603
"1633_AT1,64220_AT1",2,0.1524244687686227
"57030_AT1,10935_AT1,1544_AT1,28965_AT1,159_AT1,6888_AT1,641372_AT1",7,0.1518700097444648
93034_AT1,1,0.1474540136254474
"10993_AT1,10060_AT1,10057_AT1,5471_AT1",4,0.1472007550742816
"271_AT1,6526_AT1,5214_AT1",3,0.1441598278332044
"205_AT1,10331_AT1,97_AT2,2978_AT1,1155_AT1,55244_AT1",6,0.1418776818270686
"5210_AT1,978_AT1,55454_AT1,57084_AT1,9420_AT1,2762_AT1,22934_AT1,6569_AT1,1349_AT1",9,0.1379428386331044
"55811_AT1,490_AT1,5208_AT1,7915_AT2,2879_AT1,2982_AT1,482_AT1,54657_AT1,51251_AT1,10610_AT1",10,0.1334297775894175
"1244_AT1,217_AT1,9057_AT1,8526_AT1,2729_AT1,3938_AT1,51179_AT1,1491_AT1,5230_AT1,64241_AT1",10,0.1264511839003621
"6817_AT4,211_AT1,26301_AT1,5048_AT1,9390_AT1,7378_AT1,51706_AT1,4537_AT1",8,0.1243658437996024
"1632_AT1,2517_AT1,26873_AT1,5831_AT2,57834_AT1,51660_AT1",6,0.1242255472589723
"6554_AT1,54872_AT1,5277_AT3,84264_AT1,2978_AT1,79813_AT1",6,0.1225581410982814
"2348_AT3,5153_AT1,122481_AT1,2762_AT1,646480_AT1,23067_AT1",6,0.11677703331334
"6517_AT1,3098_AT5,1727_AT1,57016_AT1",4,0.1166080301664903
"293_AT1,64902_AT1,7378_AT1,29925_AT1",4,0.1123990741276775
"111_AT1,51166_AT2,9550_AT1,6517_AT1,257202_AT1,56913_AT1,5158_AT1,6005_AT1,6564_AT1,21_AT1",10,0.1100073456401998
"220_AT1,1120_AT2,51056_AT1",3,0.105789661912884
"788_AT1,221_AT1,9153_AT1,6540_AT1,3030_AT1,6533_AT1,54658_AT1,64220_AT1,8869_AT1,5230_AT1",10,0.103382028687499
"205_AT1,11046_AT1",2,0.1027727833024952
"533_AT1,384_AT1,790_AT1,8396_AT2,4907_AT1",5,0.1015218814267325
"4837_AT1,29880_AT1,80025_AT4",3,0.0925841026291141
"79901_AT1,55361_AT1",2,0.0925009302837424
"154091_AT1,7372_AT1,3764_AT1,2098_AT1",4,0.0910684354042943
204_AT1,1,0.0881760762914019
"686_AT1,3294_AT1,3417_AT1,7378_AT1,124975_AT1,51495_AT1,91179_AT1",7,0.0847461383511481
"26503_AT1,192134_AT1,79901_AT1",3,0.0846464045611396
"6513_AT1,10690_AT1",2,0.0841028277862093
"6522_AT1,51447_AT4,6833_AT1",3,0.0839246662770125
"55902_AT1,2806_AT1,10606_AT1,79087_AT1,2710_AT1,51268_AT1,5136_AT1",7,0.0797846121813954
"84002_AT1,2745_AT1,84706_AT1,4729_AT1",4,0.0783861781869291
"6817_AT5,1103_AT4,2109_AT2,57468_AT1,3034_AT1,4715_AT1",6,0.077197155707129
"6515_AT1,2110_AT1,1606_AT1,3292_AT1,56606_AT2,285440_AT1,199974_AT1,1358_AT1",8,0.0767801232981973
"1571_AT1,1373_AT2,1717_AT1,1040_AT1,60482_AT1,5009_AT1,6482_AT2,51251_AT1,9394_AT1",9,0.075688252529696
"127_AT1,6817_AT1,5294_AT1,7378_AT2,11212_AT1,29925_AT1,100507855_AT1,57094_AT1,9167_AT1,348158_AT1",10,0.0752096999735803
"492_AT1,57393_AT1,51071_AT1,5167_AT1,7001_AT3,7378_AT2,54600_AT1",7,0.073357268642707
"93010_AT1,51022_AT1,53_AT1,30814_AT1",4,0.0725219734805759
"954_AT1,6513_AT1,366_AT1,3636_AT1,5286_AT1,5471_AT1",6,0.0705137830519962
"84532_AT1,8693_AT1,57468_AT1,10090_AT1,9481_AT1",5,0.0701360546394036
"7083_AT1,97_AT1,51495_AT1",3,0.0697749131009894
"6817_AT4,6573_AT1,22856_AT1,51227_AT2,2762_AT1,29968_AT2,260293_AT1,91012_AT1",8,0.0679589758552388
"23743_AT1,51447_AT3,1491_AT1",3,0.0678669186768588
"89874_AT1,8527_AT1,6553_AT1,93650_AT1",4,0.0665444037717924
"2730_AT1,5291_AT1,5092_AT1,7378_AT2,4718_AT1,251_AT1,518_AT1",7,0.0663428841490768
"64078_AT1,9653_AT1,29920_AT1,54988_AT1,28972_AT1",5,0.0661781098529192
"8309_AT1,6517_AT1,6309_AT1,3037_AT1,5277_AT3,81490_AT1,10965_AT1,54657_AT1,1580_AT1",9,0.0636633183766583
"1118_AT1,2592_AT1,5211_AT2,9757_AT1,79603_AT1,10202_AT1",6,0.0612446822969239
"51022_AT1,7371_AT1,1609_AT1,79077_AT1,153201_AT1",5,0.0594458022658991
