,bTS,mTS,wTS,rTS
51302_AT1,0.16230248106982684,8.80938262389472e-05,0.03109718893294993,8.80938262389472e-05
2936_AT1,0.0021903893413366057,0.0006330202021725132,-0.0019998980650221586,0.0002652536581134161
6309_AT1,0.010594422903968576,-0.0003430446171658743,0.009256010012531386,-0.0003430446171658743
4048_AT1,0.04682065014422787,0.00015440220764482613,0.1318801625883604,0.00015440220764482613
1577_AT1,-6.500180118999262e-08,-0.0012994511696756523,5.747522044102695e-08,-0.0012994511696756523
4056_AT1,-9.433999033248824e-08,-0.0012994511696756523,5.7104411746772584e-08,-0.0012994511696756523
1551_AT1,-6.18533883251693e-08,-0.0012994511696756523,6.143055645221073e-08,-0.0012994511696756523
10858_AT1,0.16193529263661605,0.0001645672028429117,0.030673202833269617,0.0001645672028429117
66002_AT1,-7.324404876548063e-08,-0.001449872907437645,4.488566304473769e-08,-0.001449872907437645
8529_AT1,0.1347279768741636,0.00041218089412871085,0.02525050192251662,0.00041218089412871085
4051_AT1,0.1347279768741636,0.00041218089412871085,0.02525050192251662,0.00041218089412871085
9420_AT1,0.1248976084091437,6.234202948723504e-05,0.019461762719704075,6.234202948723504e-05
1582_AT1,0.011314216812956962,0.0005466371789164829,0.007069932607897254,0.0005466371789164829
2548_AT1,0.1220660079663653,-9.301601466748063e-06,0.11736282449126867,-9.301601466748063e-06
2937_AT1,0.00521317250711549,0.00038825521965731344,0.0007587930501876301,0.00038825521965731344
64087_AT1,0.006566689885221788,-7.107970000666498e-05,0.0027463268281498485,-7.107970000666498e-05
7941_AT1,-0.019113729975006776,-0.0011357663790925185,0.019116353007336405,-0.0011357663790925185
56922_AT1,0.006566689885221788,-7.107970000666498e-05,0.0027463268281498485,-7.107970000666498e-05
23417_AT1,0.002219203188433417,0.0004177959376000672,-0.0012483160068726934,0.0001448715433349147
347734_AT1,0.0025061056184066156,0.0007734604348794638,0.0011098671382511068,0.0007734604348794638
57194_AT1,0.113889976856665,-0.0016821106745517325,0.012636904401533335,-0.0016821106745517325
5337_AT1,0.10426842681725464,0.003724471950355684,-0.00491230381327569,0.04066405687527498
4357_AT1,-3.183671706315632e-08,-0.0015814861098712887,5.509256055284637e-07,-0.0015814861098712887
5338_AT1,0.008922488576638318,0.00688932050161859,-0.008838435380658573,0.012236069754669426
130013_AT1,-2.5253942346250337e-07,-0.0009541121611569091,9.831421633211149e-08,-0.0009541121611569091
4200_AT1,0.0030604187392076236,0.00039049888444574,-0.0005772122506405851,0.00014204908435609784
4199_AT1,0.0025267483749038585,0.00022717206632593908,-0.0009501806929955238,7.898611608234241e-05
3620_AT1,-5.777450250240402e-08,-0.0012994511696756523,5.448228853299352e-08,-0.0012994511696756523
1557_AT1,-6.477390188190912e-08,-0.0012994511696756523,7.001682554764495e-08,-0.0012994511696756523
9615_AT1,0.001321322982083154,-0.00046391192667275455,0.004069375092010964,-0.00046391192667275455
4548_AT1,0.00022153791761384513,-0.001145073112244176,0.0072103681582677895,-0.001145073112244176
4598_AT1,0.0003152059138733605,-0.00034510145324184694,0.0013661686944253456,-0.00034510145324184694
23556_AT1,-8.005477387190068e-08,-0.0012994511696756523,4.8835763552540227e-08,-0.0012994511696756523
55650_AT1,0.001499718427661045,0.0001654338707263605,0.0001416300811744312,0.0001654338707263605
343_AT1,-3.626329785927273e-08,-0.0015237966297477785,5.7104199390819745e-08,-0.0015237966297477785
10846_AT1,0.030391972794099626,-0.0002253205773735864,0.0009266285532700382,-0.0002253205773735864
3628_AT1,0.004847750883110022,-0.002051588648173419,0.005329650526092495,-0.002051588648173419
54872_AT1,0.0245513996858297,0.0013509218633328411,0.12155295914632488,0.0013509218633328411
80235_AT1,0.00249952094688987,5.5951024180996425e-06,0.002917912439949573,5.5951024180996425e-06
94005_AT1,0.0014997184276703205,0.00016543387072611294,0.00014163008112890366,0.00016543387072611294
128869_AT1,0.0014997184276703205,0.00016543387072611294,0.00014163008112890366,0.00016543387072611294
51477_AT1,0.002426430558516277,-0.00011933373276493699,0.007925367246479971,-0.00011933373276493699
10026_AT1,0.0014997184276703205,0.00016543387072611294,0.00014163008112890366,0.00016543387072611294
51604_AT1,0.0014997184276703205,0.00016543387072611294,0.00014163008112890366,0.00016543387072611294
2595_AT1,-0.001069396962235735,-1.1051530300337864e-05,0.0010742701199269941,-1.1051530300337864e-05
84693_AT1,-6.89247407480815e-08,-0.0013235002206785757,1.0332739817835315e-07,-0.0013235002206785757
8733_AT1,0.0014997184276703205,0.00016543387072611294,0.00014163008112890366,0.00016543387072611294
4594_AT1,-6.402613742783645e-08,-0.0013506578272358726,7.235264322283734e-08,-0.0013506578272358726
3033_AT1,0.0002913721458526386,0.00020155011547364366,0.001096925454575244,0.00020155011547364366
4507_AT1,0.011808656222324737,0.0004881745356331034,0.0892737408553485,0.0004881745356331034
27235_AT1,-4.3917803127434926e-08,-0.0015608976819628528,5.4671227939139273e-08,-0.0015608976819628528
6521_AT1,0.11185934327924406,-8.733370707135951e-05,0.10361938160896442,-8.733370707135951e-05
10797_AT1,0.009176726128415077,-0.00017690992010589002,0.10422256397514765,-0.00017690992010589002
56913_AT1,0.00016547592354918626,0.00012640452487040174,0.10837641950383727,0.00012640452487040174
91703_AT1,-1.419524390105219e-07,-0.0012994511696756523,5.9062578841100833e-08,-0.0012994511696756523
4668_AT1,0.002598755618370139,7.651426717464438e-05,0.05225835801145336,7.651426717464438e-05
6528_AT1,0.0005975994684408492,5.669710085372901e-06,-0.000158727416405425,4.28815416685159e-07
3081_AT1,0.02315291848882914,0.0005429933880671269,0.12422149955724267,0.0005429933880671269
11112_AT1,0.011778775930314199,0.0007028613780578586,0.00909460726760952,0.0007028613780578586
496_AT1,0.11837696298053109,-0.00029445351368319415,0.01936028553919158,-0.00029445351368319415
495_AT1,0.11837696298053109,-0.00029445351368319415,0.01936028553919158,-0.00029445351368319415
6559_AT1,0.014275582447583637,0.0005572704320502578,-0.0024581436567057717,0.0009325210775948036
8942_AT1,0.0019014540683590533,0.0002715633454334618,0.001830882971745176,0.0002715633454334618
5152_AT1,-6.146308535880774e-08,-0.0012994511696756523,5.981712860985729e-08,-0.0012994511696756523
5162_AT1,0.0015037780590989077,0.00042602847063190997,-0.00048433990367075414,8.469948551145875e-05
3157_AT1,0.004534292248986749,0.00022188084170066263,-0.0017955243253201128,0.00014044650293180115
1737_AT1,0.0007061831631899375,0.00028673289383152013,0.003311812205522154,0.00028673289383152013
3158_AT1,-9.582858758425227e-08,-0.004085874177820481,6.102721173766933e-08,-0.004085874177820481
55163_AT1,0.0033294588807109286,-0.00010166497934177752,0.0036309609997529266,-0.00010166497934177752
5105_AT1,0.08835638331275208,0.0003747274579988278,0.004121780727700171,0.0003747274579988278
3155_AT1,0.0062111804227852965,0.00046072955790088527,-0.005981752723653636,0.000561764469807386
79077_AT1,0.11397577236912342,-0.00016857713547376992,0.013249957547289514,-0.00016857713547376992
8310_AT1,0.006491124593618567,0.0010766069991567258,-0.0010549967195020325,0.000812420702219138
9583_AT1,0.0007938454699363974,0.00029757794214849246,0.012857743845731896,0.00029757794214849246
26062_AT1,0.0021361173743932684,0.0005920150335144153,-0.002100187084576451,0.00025079559262542253
5833_AT1,0.007334945660872333,-0.0011853109386699271,0.007543875360826326,-0.0011853109386699271
1841_AT1,0.06820344252378241,-0.00032576863220936704,0.0038807926719832456,-0.00032576863220936704
6448_AT1,-1.4394926849508677e-05,9.074627027170015e-05,4.9237789863840264e-05,9.074627027170015e-05
10400_AT1,0.01774589069415039,0.000347321544801591,-0.0007493943864344135,0.0006423810985734531
26227_AT1,0.003728271667057497,0.0008750913465391266,0.004060357424751667,0.0008750913465391266
4831_AT1,0.0002680336558025724,0.00016567426121440656,-0.0002575520259969951,8.707601953701352e-06
4833_AT1,0.0019958279849254966,0.00016537988185668162,0.03339361629206705,0.00016537988185668162
5740_AT1,-5.239433435432071e-08,-0.0012994511696756523,6.101413725792487e-08,-0.0012994511696756523
114971_AT1,0.03240103862884097,0.02901162955533032,-0.03238084542927027,0.18794280221902823
349565_AT1,-4.436663466626547e-08,-0.0032577971401128274,5.733858251615602e-08,-0.0032577971401128274
9489_AT1,0.045426587874758624,0.04507582920108149,-0.0453934450216785,0.4093788290876402
64802_AT1,-6.534665435646031e-08,-0.0012994511696756523,6.465698713050308e-08,-0.0012994511696756523
10135_AT1,3.346090334196123e-05,-0.0003978239553148531,0.003126100641983488,-0.0003978239553148531
5053_AT1,0.0030938716969321324,-0.00017852291198070975,0.004671504910275061,-0.00017852291198070975
5283_AT1,0.001499718427661045,0.0001654338707250268,0.0001416300811744312,0.0001654338707250268
5264_AT1,0.005646865193250888,0.0009485911093694829,-0.001029628985638532,0.0006333263019851611
4837_AT1,-5.8899949791478126e-08,-0.0012994511696756523,-6.37949849656068e-08,-0.0012994511696756523
5409_AT1,0.01759078665740946,0.0003445210784140763,0.11390981470521505,0.0003445210784140763
5728_AT1,0.10333524087480438,-0.00019959784867249237,0.10157387782250354,-0.00019959784867249237
4860_AT1,0.0064538216391747324,0.00035873357922859393,-0.001772448599277217,0.0002951039366341527
6580_AT1,0.002777865168260205,4.692424520334085e-06,-0.002579939477224856,2.514109389363397e-06
55808_AT1,0.023575714021167767,0.00011371351032439306,-0.00020924661273230926,0.0002704671366608279
56953_AT1,-0.0007453420128832812,-0.000524513751091737,0.0007716166940367856,-0.000524513751091737
4907_AT1,0.13179478085487936,0.0004995722209253396,0.013394753693522317,0.0004995722209253396
6476_AT1,-3.6552212770820506e-08,-0.002385793228448952,2.6192205492131924e-06,-0.002385793228448952
5009_AT1,0.003867331151987157,0.00024786770246154713,-0.0007036970509437089,0.00011330102585474085
6489_AT1,0.04347603667514291,0.00010460263245572872,0.001578876217374811,0.00010460263245572872
29906_AT1,0.009784714968089794,-5.309684523001908e-05,0.08499916061573484,-5.309684523001908e-05
10654_AT1,0.0003152059138733605,-0.00034510145324243995,0.0013661686944253456,-0.00034510145324243995
412_AT1,0.0034119239427896015,0.0002866592387751249,0.003165966035204828,0.0002866592387751249
6391_AT1,0.0007592389574216102,0.00025743587625535807,-0.0006580446979816373,3.64859659731132e-05
