"gene_id","logFC","adj.P.Val"
"ENSG00000004848",3.56239123536668,2.61702235606239e-14
"ENSG00000004864",1.5024138487892,1.71367778571352e-10
"ENSG00000004866",3.48364898714487,2.16394071916759e-29
"ENSG00000004897",4.93626869694784,1.43650553641447e-41
"ENSG00000004939",-0.570309755311842,0.242715093781797
"ENSG00000004961",1.64499356773885,7.28344744033439e-11
"ENSG00000004975",4.73078762711486,7.2325740964182e-45
"ENSG00000005007",5.5184622295116,8.07395494935237e-47
"ENSG00000005020",2.8665635620858,2.19115902298171e-26
"ENSG00000005022",4.72645311452071,6.78147406730135e-34
"ENSG00000005059",0.148584044072688,0.561106245809329
"ENSG00000005075",3.10862700498603,5.11558866538112e-34
"ENSG00000005100",4.23629717925752,9.90286396574383e-48
"ENSG00000005108",5.0513204209941,2.85206017335512e-39
"ENSG00000005156",4.88004820482162,3.4909249031757e-49
"ENSG00000005175",3.76196166502402,6.96979543183299e-38
"ENSG00000005187",0.537102320598267,0.0422214483820455
"ENSG00000005189",0.404509202549826,0.0350653462780894
"ENSG00000005194",3.66490834650086,7.69448995833088e-36
"ENSG00000005206",5.91168224080017,3.89195783299206e-46
"ENSG00000005238",4.3411874363682,9.13513001634259e-37
"ENSG00000005243",1.60027941102038,4.02022980122654e-13
"ENSG00000005249",3.86456223855695,2.36688607960343e-34
"ENSG00000005302",4.05435615678354,8.24040548729556e-40
"ENSG00000005339",7.75574132583478,3.0279147108701e-47
"ENSG00000005379",7.73412782419315,6.37068351902126e-48
"ENSG00000005381",-1.65936840712243,0.00294046906577292
"ENSG00000005436",3.63519416894,1.28066747366399e-35
"ENSG00000005448",1.67809982235015,3.48645480231894e-16
"ENSG00000005469",0.850143885658431,0.000644417571876455
"ENSG00000005471",-0.11753199199026,0.717438370409322
"ENSG00000005483",6.92710754071649,2.33575166617754e-57
"ENSG00000005486",5.80294991524711,2.90298432673492e-48
"ENSG00000005513",6.35593370500699,4.14098578111965e-45
"ENSG00000005700",4.03055891581934,3.68452333144489e-38
"ENSG00000005801",4.31379169412889,2.89552634179092e-37
"ENSG00000005810",7.88977483844125,1.44690118839173e-52
"ENSG00000005812",5.63093647563604,7.00925052259193e-37
"ENSG00000005844",2.16593936549491,3.2366505480869e-18
"ENSG00000005882",5.5475445041026,5.0088485697666e-50
"ENSG00000005884",5.27023136718227,8.95899602148531e-45
"ENSG00000005889",5.43659253315736,1.6236687759642e-42
"ENSG00000005893",6.57849969435567,6.56186224055502e-37
"ENSG00000005961",2.868569701459,3.89235303882393e-27
"ENSG00000005981",1.82507573383575,9.87430508980171e-19
"ENSG00000006007",5.25924290476243,2.56113131418795e-43
"ENSG00000006015",4.60644824389966,3.19024040580295e-33
"ENSG00000006016",3.45718991297214,2.10279197031118e-24
"ENSG00000006025",4.54567780871387,4.32297023898205e-38
"ENSG00000006042",4.64425806589461,2.03481585391257e-32
"ENSG00000006062",3.91715480495685,1.36617246542117e-41
"ENSG00000006071",5.62136076046575,3.45308801043214e-37
"ENSG00000006118",6.97024076957066,7.63556769206996e-52
"ENSG00000006125",7.13594765539659,9.93045902645612e-50
"ENSG00000006128",-0.792087613368351,0.0283902918139451
"ENSG00000006194",4.68342915181829,1.33744579876577e-43
"ENSG00000006210",6.26780914640794,4.32350133614344e-47
"ENSG00000006282",5.29180860918944,3.41603602488465e-47
"ENSG00000006283",6.12671188018189,1.29143184499297e-43
"ENSG00000006327",0.124988532728331,0.720845207643731
"ENSG00000006377",0.267434554319082,0.128321788447429
"ENSG00000006432",4.41193169812099,6.45419737966084e-31
"ENSG00000006451",3.9320020176843,2.91117249478917e-37
"ENSG00000006453",1.00486315600244,4.1996002138614e-05
"ENSG00000006459",4.67892452541109,1.0863391821271e-34
"ENSG00000006468",3.85620904287765,3.61948642726804e-26
"ENSG00000006530",4.18240999941341,9.47971160939614e-38
"ENSG00000006534",2.67086229593162,6.65461741597467e-26
"ENSG00000006555",0.391491702232248,0.00640507967977494
