"","E_4920_OL_RNA_S1","E_5273_OL_RNA_S75","E_5618_OL_RNA_S62","E_5107_OL_RNA_S98","E_5333_OL_RNA_S25","E_5337_OL_RNA_S12","E_5419_OL_RNA_S14","E_5454_OL_RNA_S21","E_5537_OL_RNA_S76","E_5585_OL_RNA_S6","E_5020_OL_RNA_S79","E_4988_OL_RNA_S16","E_5113_OL_RNA_S23","E_4934_OL_RNA_S40","E_5047_OL_RNA_S43","E_5082_OL_RNA_S80","E_5184_OL_RNA_S46","E_5240_OL_RNA_S73","E_5000_OL_RNA_S58","C_5628_OL_RNA_S44","C_5114_OL_RNA_S69","C_4942_OL_RNA_S90","C_4954_OL_RNA_S28","C_5709_OL_RNA_S18","C_5070_OL_RNA_S60","C_4870_OL_RNA_S68","C_5248_OL_RNA_S82"
"ENSG00000067715",8.81140515699073,8.85950745146677,8.44560908891304,6.63947578454058,6.13893732645178,7.32956557261753,7.21821301227215,6.68447628742807,7.86171492900268,6.97479590377375,6.8428939521191,7.32136057227466,7.92731451583804,8.16405509158536,6.80773428177449,8.14087146930352,6.43095280702244,6.37058273119477,7.0390964220233,8.76445122236035,8.52529719983118,8.72820428605531,8.30128907549203,7.95787195266328,8.16615934189277,8.64265031789713,9.68500478130886
"ENSG00000068976",4.74801604255626,4.8748246608739,5.27169239575179,6.51610202763602,4.75876535702182,5.31159768713193,6.6316158431015,5.13900601037263,5.39378703580365,5.88268136191885,5.75902739817037,6.26291090503019,4.86476359796015,5.05875418027921,5.47442595286791,3.66755374825605,7.08234433464307,6.14631848821903,5.48954769618773,4.09741203039651,3.52673253863256,4.86108133829398,3.90004319920652,5.08031715537892,3.98412346084315,2.93376340205212,4.69721256252183
"ENSG00000070495",4.59006108079796,3.86378223631446,4.6795246848007,6.38036042155615,5.22412841825004,4.93909262277459,5.8864619781428,4.82224021183477,5.31392316193966,5.28937219279031,5.84747870472455,5.75752606600999,5.06701548652357,4.5501139088216,5.34781087560628,5.80253586912723,6.64046856871484,6.52095628888591,5.10447185439097,4.19332231887878,4.66721821416664,4.70951410783558,4.73847478831622,3.97209400471115,3.90817357515953,4.14501642195419,4.23702119656872
"ENSG00000070961",6.7716575391066,6.8280431255276,6.3294790403536,3.54692973714009,2.4144938306532,5.25091368741391,4.72346612311866,5.13205102688277,5.36653238954758,4.34412775378652,4.04688489063896,5.2130281706027,6.11459039042448,5.06906504350792,5.14334540848461,5.4599667800292,3.55365259152521,3.86145213149889,5.65331880525709,6.34651588037273,6.46560569159282,6.39150727407199,6.12189803420594,6.01773696514717,6.07916656716936,6.24118681854783,7.46750178066907
"ENSG00000072163",3.58202090343235,2.73214354056034,2.88408144471466,6.11069972693587,4.22207203590567,3.62115959122836,3.94373176374663,4.93954201750726,3.31959403953922,4.23457919023453,3.22783157900635,3.83741091454264,2.57642535439431,3.06849150072199,4.72660997916863,3.31414828292928,5.14384003640255,4.95873436538854,3.93345691826267,1.79317509064554,2.11645887982727,3.01324196692097,2.44579462342382,1.7027519724041,2.62432195576283,3.89741573831052,1.32081686687213
"ENSG00000072858",3.64566843512171,3.02340656748055,2.91391990887272,1.96999688228296,1.54764560942125,2.30902412483919,1.32681099058922,2.60233077896917,2.67875133820181,1.58466531873572,1.28777522008707,1.96544968345253,3.12137876187779,3.06064865953695,2.16128243022817,3.07956604108911,0.959333417853935,1.78300940608079,1.20198644397531,3.18332301565236,4.03830204817174,3.42418208843255,3.1800719781105,2.05478271801572,3.60060124349987,3.63064682103918,3.28039438305765
"ENSG00000074590",3.04024661673657,2.56839133673317,0.999970945925961,0.32170776701888,0.999553163526724,1.37961080416916,-2.33491782864933,-3.71090614100577,2.47697343129213,0.667762629964072,-3.87314791453946,0.476455291569569,1.38087308302021,1.70560123636086,-0.642834573500488,0.619635342205584,-3.41219448789914,0.270086417008639,0.627072618882693,2.14712480034305,2.36346049641759,2.15492910017283,2.29806826668925,1.46172274327781,1.85938873283492,3.13222860927488,3.20684929305721
"ENSG00000077264",6.22340056583626,6.37120949125311,5.72094769299605,3.59150825984414,4.38008985051911,5.46730423159174,5.31788779212588,5.08657633722042,5.17305244389846,4.40382665809465,4.61961211386283,5.14683990460047,5.54517514255502,5.03400491256666,3.32630447259483,4.93464989240759,4.62875404164677,5.38959875829904,5.42874204806941,6.13677303298901,6.37295386752807,5.75413861013748,5.91077802629076,5.66115561209476,6.26931141048707,6.00287202739095,6.68907463044612
"ENSG00000080824",7.2596879161128,6.79646496275495,6.63119818824423,9.70175012809718,10.3560297525898,8.48230692409361,9.61668999906495,6.61459144847054,7.85481666402175,7.96811942037463,8.89701022810219,9.91833738319884,7.47241217549643,7.47196480979608,8.75635314908967,8.7008699317182,9.70133705518396,10.4807167851978,9.42305799185549,7.08885452043468,7.51370016442297,6.97404435799037,8.29960616647309,6.82659446802262,6.28912375181519,5.92230637370526,6.47895522009732
"ENSG00000082781",4.38891774250035,4.49435220595122,4.34952428030778,7.31254012678026,6.64302423591416,5.75961203555776,5.58101409055649,6.02620561295503,5.95224492587362,5.94308003914172,6.2071592091465,5.62480830350749,4.8102227396254,4.77731505881755,6.30616752124827,5.30427225226312,6.63268315079787,6.087335836444,5.81545775951908,4.38465490491133,3.64678751811933,4.10579101927636,5.23512267651309,4.85372716266494,3.83202139321104,3.91264609206984,4.16880075804286
